ID,date,sender,sender.carrier,receiver,receiver.carrier,length.call
310,1,353.145.2037,3,353.145.4644,3,35
311,1,353.145.2037,3,681.469.5102,1,24
312,1,353.145.2037,3,353.145.4644,3,1
313,1,353.145.8175,3,681.469.2926,1,1
314,1,353.145.8175,3,681.469.2555,1,27
315,1,353.145.8175,3,940.386.5914,2,26
316,1,353.145.8175,3,940.386.5860,2,1
317,1,353.145.8175,3,353.145.8454,3,23
318,1,353.145.8175,3,353.145.8454,3,1
319,1,353.145.9029,3,681.469.5102,1,33
320,1,353.145.4644,3,353.145.9453,3,1
321,1,353.145.4644,3,353.145.8454,3,17
322,1,353.145.4644,3,353.145.4761,3,22
323,1,353.145.4644,3,353.145.9453,3,1
324,1,353.145.7916,3,353.145.5686,3,1
325,1,353.145.7916,3,353.145.1968,3,24
326,1,353.145.7916,3,353.145.1669,3,34
327,1,353.145.9066,3,681.469.7087,1,1
328,1,353.145.9066,3,681.469.9336,1,23
329,1,353.145.9066,3,353.145.1968,3,22
330,1,353.145.9066,3,353.145.1669,3,42
331,1,353.145.9066,3,940.386.6876,2,19
332,1,353.145.9066,3,353.145.8175,3,25
333,1,353.145.9066,3,681.469.5704,1,24
334,1,353.145.9066,3,940.386.7033,2,17
335,1,353.145.9066,3,681.469.2926,1,29
336,1,353.145.9066,3,681.469.5012,1,25
337,1,353.145.4769,3,681.469.9951,1,23
338,1,353.145.4769,3,353.145.1968,3,17
339,1,353.145.4769,3,353.145.4644,3,24
340,1,353.145.4769,3,940.386.1402,2,16
341,1,353.145.4769,3,681.469.2926,1,39
342,1,353.145.4769,3,940.386.7868,2,13
343,1,353.145.4769,3,681.469.2049,1,33
344,1,353.145.4769,3,681.469.1081,1,34
345,1,353.145.4769,3,940.386.5914,2,1
346,1,353.145.4769,3,681.469.5102,1,26
347,1,353.145.4769,3,681.469.4840,1,1
348,2,681.469.9336,1,353.145.9029,3,19
349,2,681.469.9336,1,681.469.2049,1,1
350,2,681.469.9336,1,940.386.7868,2,25
351,2,681.469.9336,1,940.386.2494,2,1
352,2,681.469.5599,1,940.386.4189,2,32
353,2,681.469.5599,1,353.145.7916,3,24
354,2,681.469.5599,1,681.469.5102,1,19
355,2,681.469.5599,1,940.386.7868,2,19
356,2,681.469.7188,1,681.469.7576,1,30
357,2,681.469.7188,1,353.145.8454,3,31
358,2,681.469.7188,1,353.145.9453,3,27
359,2,681.469.7188,1,940.386.7868,2,1
360,2,681.469.7188,1,681.469.9951,1,27
361,2,681.469.7188,1,353.145.8454,3,1
362,2,681.469.7188,1,353.145.4761,3,12
363,2,681.469.7188,1,681.469.1390,1,24
364,2,681.469.7188,1,353.145.4761,3,1
365,2,681.469.3347,1,681.469.9722,1,12
366,2,681.469.3347,1,681.469.9336,1,37
367,2,681.469.3347,1,681.469.1081,1,17
368,2,681.469.3347,1,681.469.5102,1,29
369,2,681.469.3347,1,353.145.1968,3,28
370,2,681.469.3347,1,681.469.9722,1,26
371,2,681.469.3347,1,353.145.1968,3,1
372,2,681.469.4720,1,353.145.4761,3,26
373,2,681.469.4720,1,681.469.7576,1,28
374,2,681.469.4720,1,353.145.5686,3,30
375,2,681.469.4720,1,353.145.9453,3,1
376,2,681.469.4720,1,940.386.7033,2,21
377,2,681.469.4720,1,940.386.5860,2,29
378,2,681.469.4720,1,940.386.1402,2,25
379,2,681.469.5102,1,940.386.1402,2,17
380,2,681.469.5102,1,681.469.9378,1,28
381,2,681.469.5102,1,681.469.2926,1,33
382,2,681.469.5102,1,681.469.5704,1,24
383,2,681.469.6415,1,353.145.9029,3,21
384,2,681.469.6415,1,681.469.7527,1,19
385,2,681.469.6415,1,940.386.2494,2,19
386,2,681.469.6415,1,353.145.1669,3,28
387,2,681.469.6415,1,940.386.4189,2,1
388,2,681.469.6415,1,681.469.3347,1,32
389,2,681.469.2555,1,681.469.3347,1,1
390,2,681.469.2555,1,681.469.9378,1,19
391,2,681.469.2555,1,681.469.7576,1,27
392,2,681.469.3054,1,353.145.7916,3,1
393,2,681.469.3054,1,940.386.1402,2,26
394,2,681.469.3054,1,940.386.7868,2,1
395,2,681.469.3054,1,681.469.8025,1,23
396,2,681.469.3054,1,681.469.2049,1,20
397,2,681.469.4593,1,353.145.9029,3,26
398,2,681.469.4593,1,681.469.7527,1,1
399,2,681.469.4593,1,353.145.4769,3,1
400,2,681.469.4593,1,353.145.8406,3,1
401,2,681.469.4593,1,353.145.9474,3,24
402,2,681.469.4593,1,353.145.9029,3,33
403,2,681.469.4593,1,940.386.5914,2,28
404,2,681.469.2049,1,353.145.8175,3,18
405,2,681.469.2049,1,681.469.7188,1,28
406,2,681.469.7877,1,353.145.5686,3,19
407,2,681.469.7877,1,681.469.9336,1,21
408,2,681.469.7877,1,681.469.9951,1,22
409,2,681.469.7877,1,353.145.9453,3,17
410,2,681.469.7877,1,681.469.6415,1,21
411,2,681.469.7877,1,681.469.1081,1,37
412,2,681.469.7877,1,681.469.9951,1,27
413,2,681.469.7877,1,353.145.7916,3,18
414,2,681.469.7877,1,353.145.5686,3,22
415,2,681.469.1366,1,940.386.2494,2,23
416,2,681.469.1366,1,940.386.7868,2,34
417,2,681.469.1366,1,940.386.1402,2,1
418,2,681.469.1366,1,681.469.1081,1,29
419,2,681.469.1366,1,681.469.9336,1,25
420,2,681.469.2663,1,681.469.1081,1,1
421,2,681.469.2663,1,353.145.8175,3,22
422,2,681.469.2663,1,353.145.9029,3,21
423,2,681.469.2663,1,681.469.7188,1,27
424,2,681.469.2663,1,681.469.9722,1,1
425,2,681.469.2663,1,353.145.1669,3,26
426,2,681.469.2663,1,681.469.5012,1,16
427,2,681.469.2663,1,353.145.1669,3,21
428,2,681.469.2663,1,681.469.6415,1,27
429,2,681.469.2663,1,353.145.1968,3,26
430,2,681.469.2663,1,681.469.2555,1,1
431,2,681.469.4840,1,353.145.8454,3,23
432,2,681.469.4840,1,353.145.9029,3,31
433,2,681.469.4840,1,681.469.9336,1,25
434,2,681.469.4840,1,353.145.7916,3,26
435,2,681.469.4840,1,353.145.7916,3,11
436,2,681.469.4840,1,353.145.4761,3,27
437,2,681.469.4840,1,353.145.7916,3,1
438,2,681.469.4840,1,353.145.1968,3,20
439,2,681.469.4840,1,940.386.2494,2,23
440,2,681.469.4840,1,353.145.4306,3,1
441,2,681.469.1081,1,681.469.4593,1,18
442,2,681.469.1081,1,353.145.4761,3,33
443,2,681.469.1081,1,681.469.7188,1,1
444,2,681.469.1081,1,353.145.7916,3,17
445,2,681.469.1081,1,940.386.7868,2,19
446,2,681.469.1081,1,353.145.1968,3,25
447,2,681.469.7527,1,681.469.6415,1,25
448,2,681.469.7527,1,940.386.7868,2,21
449,2,681.469.7527,1,681.469.2663,1,18
450,2,681.469.7527,1,940.386.5914,2,32
451,2,681.469.1390,1,353.145.4306,3,24
452,2,681.469.1390,1,681.469.9336,1,1
453,2,681.469.5704,1,681.469.7188,1,27
454,2,681.469.5704,1,681.469.7576,1,29
455,2,681.469.5704,1,940.386.7033,2,1
456,2,681.469.5704,1,681.469.4720,1,22
457,2,681.469.5704,1,940.386.6876,2,1
458,2,681.469.5704,1,353.145.8454,3,25
459,2,681.469.9378,1,353.145.9453,3,22
460,2,681.469.9378,1,940.386.5914,2,1
461,2,681.469.9378,1,353.145.3797,3,1
462,2,681.469.9378,1,353.145.1669,3,1
463,2,681.469.9378,1,681.469.5102,1,37
464,2,681.469.9378,1,353.145.1669,3,25
465,2,681.469.9378,1,940.386.4189,2,26
466,2,681.469.9378,1,353.145.1669,3,31
467,2,681.469.2926,1,681.469.6415,1,28
468,2,681.469.2926,1,681.469.1366,1,26
469,2,681.469.2926,1,681.469.9336,1,31
470,2,681.469.2926,1,353.145.2037,3,20
471,2,681.469.2926,1,353.145.5686,3,19
472,2,681.469.9951,1,681.469.5102,1,21
473,2,681.469.9951,1,940.386.4189,2,26
474,2,681.469.9951,1,353.145.1968,3,35
475,2,681.469.9951,1,940.386.5914,2,22
476,2,681.469.9951,1,940.386.7033,2,26
477,2,681.469.9951,1,940.386.1085,2,20
478,2,681.469.5012,1,681.469.3347,1,31
479,2,681.469.5012,1,681.469.9951,1,26
480,2,681.469.5012,1,353.145.3797,3,1
481,2,681.469.3534,1,353.145.7916,3,21
482,2,681.469.3534,1,353.145.8454,3,1
483,2,681.469.3534,1,681.469.5599,1,1
484,2,681.469.3534,1,681.469.7188,1,1
485,2,681.469.9722,1,353.145.1968,3,1
486,2,681.469.9722,1,681.469.4720,1,24
487,2,681.469.9722,1,353.145.9029,3,1
488,2,681.469.9722,1,353.145.4761,3,22
489,2,681.469.9722,1,681.469.9951,1,27
490,2,681.469.9722,1,940.386.5914,2,19
491,2,681.469.7087,1,940.386.5914,2,21
492,2,681.469.7087,1,940.386.7868,2,25
493,2,681.469.7087,1,681.469.4840,1,1
494,2,681.469.7087,1,353.145.7916,3,1
495,2,681.469.7087,1,940.386.6607,2,17
496,2,681.469.7087,1,353.145.4306,3,1
497,2,681.469.7087,1,940.386.5860,2,16
498,2,681.469.8025,1,353.145.9242,3,26
499,2,681.469.8025,1,681.469.9951,1,31
500,2,681.469.8025,1,353.145.9474,3,15
501,2,681.469.8025,1,681.469.9951,1,19
502,2,681.469.8025,1,353.145.8454,3,24
503,2,681.469.7576,1,681.469.5012,1,20
504,2,681.469.7576,1,681.469.9722,1,1
505,2,681.469.7576,1,681.469.9951,1,15
506,2,681.469.7576,1,353.145.8454,3,12
507,2,681.469.7576,1,681.469.7188,1,21
508,2,681.469.7576,1,353.145.1968,3,32
509,2,681.469.1408,1,681.469.1390,1,13
510,2,681.469.1408,1,681.469.1081,1,21
511,2,681.469.1408,1,681.469.7576,1,22
512,2,681.469.7160,1,681.469.9722,1,27
513,2,681.469.7160,1,353.145.9453,3,17
514,2,681.469.7160,1,681.469.5012,1,17
515,2,681.469.7160,1,681.469.1081,1,1
516,2,681.469.7160,1,681.469.2555,1,31
517,2,940.386.7033,2,353.145.2037,3,1
518,2,940.386.7033,2,681.469.5102,1,1
519,2,940.386.7033,2,353.145.9029,3,21
520,2,940.386.7033,2,353.145.9242,3,1
521,2,940.386.7033,2,681.469.7087,1,22
522,2,940.386.7033,2,353.145.1669,3,20
523,2,940.386.7033,2,681.469.9722,1,27
524,2,940.386.7033,2,940.386.7868,2,18
525,2,940.386.5914,2,681.469.7188,1,1
526,2,940.386.5914,2,940.386.2494,2,26
527,2,940.386.5914,2,681.469.3054,1,24
528,2,940.386.5914,2,681.469.9951,1,29
529,2,940.386.5914,2,940.386.7868,2,28
530,2,940.386.7868,2,353.145.9474,3,23
531,2,940.386.7868,2,353.145.2037,3,25
532,2,940.386.7868,2,681.469.1081,1,27
533,2,940.386.7868,2,353.145.9453,3,23
534,2,940.386.1085,2,353.145.9029,3,34
535,2,940.386.1085,2,681.469.1390,1,27
536,2,940.386.1085,2,353.145.9453,3,22
537,2,940.386.1085,2,681.469.9336,1,16
538,2,940.386.2494,2,681.469.1081,1,17
539,2,940.386.2494,2,681.469.9722,1,1
540,2,940.386.2494,2,681.469.7527,1,22
541,2,940.386.2494,2,353.145.4769,3,1
542,2,940.386.6607,2,940.386.7033,2,25
543,2,940.386.6607,2,940.386.1402,2,29
544,2,940.386.6607,2,353.145.1669,3,1
545,2,940.386.6607,2,353.145.1968,3,14
546,2,940.386.6607,2,353.145.9029,3,26
547,2,940.386.6607,2,681.469.9378,1,1
548,2,940.386.6607,2,681.469.1366,1,32
549,2,940.386.6607,2,353.145.9242,3,1
550,2,940.386.6607,2,940.386.5860,2,29
551,2,940.386.6876,2,353.145.9029,3,1
552,2,940.386.6876,2,681.469.5102,1,19
553,2,940.386.6876,2,681.469.9722,1,42
554,2,940.386.6876,2,681.469.9722,1,1
555,2,940.386.6876,2,353.145.9029,3,24
556,2,940.386.6876,2,353.145.8454,3,25
557,2,940.386.6876,2,353.145.9474,3,23
558,2,940.386.4189,2,353.145.4306,3,20
559,2,940.386.4189,2,681.469.2049,1,16
560,2,940.386.4189,2,681.469.5012,1,26
561,2,940.386.4189,2,940.386.7033,2,1
562,2,940.386.4189,2,940.386.5860,2,14
563,2,940.386.4189,2,681.469.3054,1,36
564,2,940.386.1402,2,681.469.9722,1,26
565,2,940.386.1402,2,940.386.6876,2,23
566,2,940.386.1402,2,681.469.5102,1,21
567,2,940.386.1402,2,681.469.2049,1,33
568,2,940.386.1402,2,681.469.9951,1,18
569,2,940.386.1402,2,940.386.7868,2,27
570,2,940.386.1402,2,353.145.4761,3,31
571,2,940.386.5860,2,940.386.2494,2,1
572,2,940.386.5860,2,940.386.4189,2,1
573,2,940.386.5860,2,353.145.1968,3,26
574,2,940.386.5860,2,681.469.7188,1,1
575,2,940.386.5860,2,681.469.7160,1,27
576,2,940.386.5860,2,353.145.4761,3,1
577,2,940.386.5860,2,940.386.5914,2,26
578,2,940.386.5860,2,681.469.9722,1,1
579,2,940.386.5860,2,353.145.9453,3,19
580,2,353.145.5686,3,940.386.7033,2,1
581,2,353.145.5686,3,681.469.9336,1,33
582,2,353.145.5686,3,681.469.2049,1,25
583,2,353.145.5686,3,681.469.7188,1,44
584,2,353.145.5686,3,353.145.1303,3,26
585,2,353.145.5686,3,681.469.9951,1,1
586,2,353.145.5686,3,353.145.2037,3,27
587,2,353.145.4761,3,353.145.4306,3,21
588,2,353.145.4761,3,940.386.6876,2,24
589,2,353.145.4761,3,940.386.5914,2,29
590,2,353.145.4761,3,940.386.4189,2,30
591,2,353.145.4761,3,681.469.2555,1,24
592,2,353.145.9453,3,353.145.4306,3,24
593,2,353.145.9453,3,681.469.2926,1,16
